Ticker,Date,PRC,RET,Headline,Score
AIN,2021-04-07,84.76,-0.020569,Albany International Announces Earnings Release Date,0.09
AIN,2021-03-19,85.22,-0.016276,Albany International to Present at Sidoti Spring 2021 Virtual Conference,0.17
AIN,2021-03-09,85.67,-0.010967,"Benzinga's Top Ratings Upgrades, Downgrades For March 8, 2021",0.04
AIN,2021-03-09,85.67,-0.010967,P/E Ratio Insights for Albany Intl,0.1
AIN,2021-03-09,85.67,-0.010967,ROCE Insights For Albany International,0.28
AIN,2021-02-18,80.47,0.03605,Albany International Corp. (NYSE:AIN) Analysts Just Slashed This Year's Estimates,-0.62
AIN,2021-02-12,73.63,0.025202,Albany International Corp (AIN) Q4 2020 Earnings Call Transcript,0.21
AIN,2021-02-11,71.82,-0.046975,Albany International (AIN) Tops Q4 Earnings and Revenue Estimates,0.76
AIN,2021-02-11,71.82,-0.046975,Recap: Albany International Q4 Earnings,0.62
AIN,2021-02-11,71.82,-0.046975,Albany International Reports Fourth-Quarter 2020 Results,0.66
AIN,2021-01-22,76.72,0.005241,Is It Too Late To Consider Buying Albany International Corp. (NYSE:AIN)?,0.36
AIN,2021-01-07,77.07,0.001429,Albany International (AIN) Upgraded to Buy: Here's What You Should Know,0.71
AIN,2020-12-18,74.0,0.01356,Is AIN A Good Stock To Buy Now?,0.36
AIN,2020-12-17,73.01,0.018413,"Albany International Corp. (NYSE:AIN) Passed Our Checks, And It's About To Pay A US$0.20 Dividend",0.73
AIN,2020-12-16,71.69,-0.020495,Is NOAH A Good Stock To Buy Now?,0.13
AIN,2020-12-15,73.19,0.039631,Where Do Hedge Funds Stand On Sandstorm Gold Ltd. (SAND)?,-0.28
AIN,2020-12-11,71.27,-0.001681,J. Michael McQuade Elected to Albany International Corp. Board,0.21
AIN,2020-12-04,72.12,0.028376,"Here is What Hedge Funds Think About Enviva Partners, LP (EVA)",0.17
AIN,2020-10-29,49.5,-0.030172,Albany International (AIN) Tops Q3 Earnings and Revenue Estimates,0.76
AIN,2020-10-15,55.14,0.001817,Hedge Funds Are Coming Back To Innospec Inc. (IOSP),0.64
AIN,2020-10-08,53.45,-0.000187,Hedge Funds Dipping Their Toes Into Visteon Corp (VC),0.42
AIV,2021-06-29,6.69,-0.034632,The company Tesla booted from the S&amp;P 500 is outperforming it,0.42
AIV,2021-06-22,7.4,-0.010695,"Is Republic Bancorp, Inc. (RBCAA) Going to Burn These Hedge Funds?",0.72
AIV,2021-06-15,7.56,-0.016905,Where Do Hedge Funds Stand On PBF Logistics LP (PBFX)?,0.18
AIV,2021-05-27,7.0,0.0,AIR Communities Earns Ninth Top Workplace Award,0.64
AIV,2021-05-21,6.84,0.007364,"MERGER ALERT – KSU, and AIV: Levi &amp; Korsinsky, LLP Reminds Investors of Investigations Concerning the Mergers of these Companies",-0.42
AIV,2021-05-19,6.62,-0.008982,"Aimco (AIV) Q1 Net Income &amp; Revenues Rise Y/Y, NOI Declines",0.31
AIV,2021-05-18,6.68,0.0,Aimco Reports First Quarter 2021 Results,0.11
AIV,2021-05-12,6.56,-0.029586,"MERGER ALERT - KSU, and AIV: Levi &amp; Korsinsky, LLP Reminds Investors of Investigations Concerning the Mergers of these Companies",-0.42
AIV,2021-05-06,6.89,0.040785,"Canadian pension fund reviews options for Spain's Eolia, sources say",0.44
AIV,2021-05-06,6.89,0.040785,"UPDATE 1-Canadian pension fund reviews options for Spain's Eolia, sources say",0.44
AIV,2021-04-30,6.94,0.022091,AIR Reports First Quarter 2021 Results,0.27
AIV,2021-04-29,6.79,0.01952,Apartment Income REIT Corp. Announces Quarterly Common Dividend of $0.43 Per Share,0.53
AIV,2021-04-28,6.66,-0.008929,Conor Wagner Resigns as Chief Investment Officer,-0.41
AIV,2021-04-28,6.66,-0.008929,Top 10 REIT Stocks Under $10,0.26
AIV,2021-04-27,6.72,0.00149,"Apartment Income REIT Corp. Announces Further Progress as ""Best in Class"" Apartment REIT",0.63
AIV,2021-04-16,6.38,0.006309,"Apartment Income REIT Corp. Announces Closing of $1.4 Billion Credit Facility, First Quarter 2021 Leasing Results, and Increased 2021 Guidance",0.66
AIV,2021-04-09,6.23,0.001608,Apartment Income REIT Corp. Announces Dates for First Quarter 2021 Earnings Release and Conference Call,0.18
AIV,2021-03-31,6.14,-0.014446,"MERGER ALERT - MIK, and AIV: Levi &amp; Korsinsky, LLP Reminds Investors of Investigations Concerning the Mergers of these Companies",-0.41
AIV,2021-03-16,5.72,0.012389,"Aimco (AIV) Posts Q4 Loss, Stock Gains as Revenues Increases",0.61
AIV,2021-03-03,4.82,0.004167,Fiserv to Present at Evercore ISI’s 2021 Payments and FinTech Innovators Forum,0.41
AIV,2021-02-10,4.92,-0.006061,"SHAREHOLDER ALERT: Levi &amp; Korsinsky, LLP Reminds Shareholders of an Investigation Concerning Possible Breaches of Fiduciary Duty by Certain Officers and Directors of Apartment Investment and Management Company - AIV",-0.62
AIV,2021-01-06,5.07,0.007952,5 Apartment REITs to Watch,0.2
AIV,2021-01-05,5.03,-0.005929,Why Apartment Investment and Management Stock Plummeted 86% in December,-0.83
AIV,2020-12-22,5.08,0.049587,Is ITT A Good Stock To Buy According To Hedge Funds?,0.29
AIV,2020-12-18,4.52,-0.027957,Gearing Up: Tesla's Path To The S&amp;P 500 Index Has Been A Wild Ride,0.64
AIV,2020-12-17,4.65,0.006494,Shares of Aimco (AIV) Tumble as It Completes Spin-Off of AIR,-0.55
AIV,2020-12-16,4.62,-0.083333,Apartment Investment Completes Separation Into Two Companies,0.66
AIV,2020-12-16,4.62,-0.083333,"SHAREHOLDER ALERT: Levi &amp; Korsinsky, LLP Notifies Shareholders of an Investigation Concerning Possible Breaches of Fiduciary Duty by Certain Officers and Directors of Apartment Investment and Management Company-AIV",-0.7
AIV,2020-12-16,4.62,-0.083333,Why Apartment and Investment Management Stock Plunged 86% at the Open Today,-0.85
AIV,2020-12-16,4.62,-0.083333,Aimco Completes Separation of Apartment Income REIT Corp.,0.41
AIV,2020-12-11,40.58,-0.004904,Is EGP A Good Stock To Buy Now?,0.11
AIV,2020-12-04,41.28,0.001456,"Aimco (AIV) Rejects Takeover Bid, Remains on Track With Spin-Off",0.13
AIV,2020-12-04,41.28,0.001456,Park Towne Place Goes Virtual with Award-Winning Art Programming,0.23
AIV,2020-12-03,41.22,0.015271,Aimco Confirms It Received a Conditional Non-Binding Indication of Interest That is Grossly Inadequate and Will Proceed with the Separation of AIR and Aimco,-0.41
AIV,2020-10-09,36.76,0.000544,Students in Affordable Housing Receive Scholarships from Aimco and NLHA,0.21
AIV,2020-09-22,34.75,0.049215,"Aimco Cares Charity Golf Classic Raises $340,000 for Military Causes, Scholars and Local Nonprofits",0.12
AIV,2020-07-15,38.18,0.008452,"In Third Consecutive Win, Aimco Receives Association for Talent Development BEST Award",0.63
AIV,2020-06-05,42.21,0.05525,Aimco Earns Eighth Denver Post Top Workplace Award,0.52
ALF,2021-06-24,12.85,0.069942,"Alfi Inc shares set to fall from record highs, 'meme stock' Torchlight sinks",-0.66
ALF,2021-06-23,12.01,-0.262738,"Alfi Inc shares more than double, other 'meme stocks' mixed",0.73
ALF,2021-06-22,16.29,1.088462,"As Alfi (ALF) Stock Goes Parabolic, CEO Says ""We're Swinging for the Fences""",0.66
ALKS,2021-07-01,24.9,0.015498,Alkermes Presented New Data Analysis on Healthcare Resource Use Among Veterans With Alcohol Dependence,0.27
ALKS,2021-06-30,24.52,0.009054,When Will Alkermes plc (NASDAQ:ALKS) Breakeven?,0.04
ALKS,2021-06-25,24.13,-0.015905,"Alkermes Announces Former Professional Baseball Player, CC Sabathia, as Spokesperson for Alcohol Dependence Awareness Campaign",0.12
ALKS,2021-06-14,24.72,-0.012385,Forget Biogen: These 2 Under-the-Radar Biotechs Are Also Celebrating Breakthroughs,0.63
ALKS,2021-06-04,23.08,0.000433,Alkermes to Take Part in the Goldman Sachs Annual Global Healthcare Conference,0.18
ALKS,2021-06-03,23.07,-0.009871,"Biotech Stock Roundup: MRNA COVID-19 Vaccine Update, Drug Approvals for ALKS, MYOV &amp; More",0.62
ALKS,2021-06-03,23.07,-0.009871,"Alkermes' (ALKS) Schizophrenia, Bipolar I Disorder Drug Approved",0.76
ALKS,2021-06-02,23.3,0.006479,UPDATE 1-Alkermes schizophrenia drug gets U.S. FDA approval,0.77
ALKS,2021-06-02,23.3,0.006479,Alkermes Announces FDA Approval of LYBALVI™ for the Treatment of Schizophrenia and Bipolar I Disorder,0.76
ALKS,2021-06-01,23.15,0.021173,Where Does the Street Stand on Alkermes Ahead of the Lybalvi PDUFA Date?,0.41
ALKS,2021-05-21,22.19,0.012318,Alkermes Announces the Appointment of Emily Peterson Alva to its Board of Directors,0.23
ALKS,2021-05-14,22.26,0.000899,"Alkermes Announces 2021 Alkermes Inspiration Grants® Program to Support Innovative Programs Focused on People Affected by Addiction, Serious Mental Illness or Cancer",0.12
ALKS,2021-05-06,22.01,-0.001814,Alkermes to Take Part in the BofA Securities 2021 Virtual Healthcare Conference,0.17
ALKS,2021-05-04,22.3,0.007682,Alkermes to Showcase Data From Psychiatry Portfolio at Upcoming Scientific Conferences Throughout Mental Health Awareness Month,0.41
ALKS,2021-04-30,22.005,0.010331,Alkermes PLC (ALKS) Q1 2021 Earnings Call Transcript,0.0
ALKS,2021-04-30,22.005,0.010331,"Alkermes' (ALKS) Q1 Earnings Rise Y/Y, Revenues Beat Estimates",0.71
ALKS,2021-04-29,21.78,0.000459,Alkermes (ALKS) Q1 Earnings and Revenues Beat Estimates,0.76
ALKS,2021-04-29,21.78,0.000459,Alkermes Announces Two Abstracts Accepted for Presentation at 2021 American Society of Clinical Oncology Annual Meeting,0.41
ALKS,2021-04-29,21.78,0.000459,Alkermes plc Reports First Quarter 2021 Financial Results,0.11
ALKS,2021-04-29,21.78,0.000459,Alkermes Plc to Host Earnings Call,0.22
ALKS,2021-04-28,21.77,-0.032444,Alkermes Launches New Disease State Website to Offer Education About Alcohol Dependence,0.23
ALKS,2021-04-28,21.77,-0.032444,Alkermes Initiates ARTISTRY-6 Trial of Nemvaleukin Alfa Monotherapy in Patients With Melanoma,0.52
ALKS,2021-04-22,20.92,0.020488,Alkermes to Host Conference Call to Discuss First Quarter 2021 Financial Results,0.11
ALKS,2021-04-21,20.5,0.016865,Alkermes Presents New Data From Psychiatry Portfolio at Virtual 2021 Congress of the Schizophrenia International Research Society,0.52
ALKS,2021-04-21,20.5,0.016865,IS AQUA Stock A Buy or Sell?,0.21
ALKS,2021-04-15,19.77,0.028081,Is ALKS Stock A Buy or Sell?,0.12
ALKS,2021-04-09,19.02,-0.001575,Alkermes (ALKS) Inks Deal With Merck for Ovarian Cancer Study,0.66
ALKS,2021-04-08,19.05,-0.001049,Alkermes Announces Clinical Trial Collaboration and Supply Agreement With MSD to Evaluate Nemvaleukin Alfa in Combination With KEYTRUDA® in Patients With Platinum-Resistant Ovarian Cancer,0.62
ALKS,2021-04-06,19.11,-0.007788,Is VG Stock A Buy or Sell?,0.08
ALKS,2021-04-01,19.15,0.025161,An Intrinsic Calculation For Alkermes plc (NASDAQ:ALKS) Suggests It's 30% Undervalued,0.63
ALKS,2021-03-26,19.52,-0.014141,Alkermes to Take Part in Stifel's 3rd Annual CNS Day,0.17
ALKS,2021-03-26,19.52,-0.014141,Alkermes Investor Day to Focus on Scientific Progress and Value Creation Strategy,0.66
ALKS,2021-03-12,19.42,-0.00308,"The Daily Biotech Pulse: Contrasting COVID-19 Treatment Readouts From Roche, Vir, Delay In Kadmon's FDA Review, Alzheimer's Data From Prothena",0.03
ALKS,2021-03-12,19.42,-0.00308,Alkermes Announces FDA Orphan Drug Designation for Nemvaleukin Alfa for Treatment of Mucosal Melanoma,0.67
ALKS,2021-03-10,19.2,-0.022901,"Lyra Therapeutics Reports Fourth Quarter and Full Year 2020 Financial Results, Provides Corporate Update",0.11
ALKS,2021-03-09,19.65,0.021841,"Alkermes, Inc. -- Moody's assigns Ba3 to Alkermes' term loan; stable outlook",0.51
ALKS,2021-03-05,19.28,0.058759,Alkermes to Hold Virtual Investor Day,0.21
ALKS,2021-02-19,19.58,-0.004069,Alkermes to Take Part in SVB Leerink 10th Annual Global Healthcare Conference,0.17
ALKS,2021-02-12,20.22,0.00999,Alkermes PLC (ALKS) Q4 2020 Earnings Call Transcript,0.21
ALKS,2021-02-12,20.22,0.00999,Why Alkermes' Q4 Results Were Better Than They Might Seem,0.32
ALKS,2021-02-12,20.22,0.00999,Alkermes (ALKS) Beats Q4 Earnings and Revenue Estimates,0.76
ALKS,2021-02-12,20.22,0.00999,"The Daily Biotech Pulse: DermTech Soars On Contract, Fluidigm Plunges On Earnings, Decision Day For Regeneron, Bioventus Debuts",0.15
ALKS,2021-02-12,20.22,0.00999,"Alkermes plc Reports Financial Results for the Fourth Quarter and Year Ended Dec. 31, 2020 and Provides Financial Expectations for 2021",0.54
ALKS,2021-02-10,22.93,-0.011638,"The Daily Biotech Pulse: Dynavax Poaches GSK Vaccine Exec, KalVista Jumps On Data Readout, Corcept Issues Negative Preannouncement",-0.07
ALKS,2021-02-05,22.33,0.026195,Alkermes to Host Conference Call to Discuss Fourth Quarter and Year-End 2020 Financial Results,0.04
ALKS,2021-01-29,20.99,-0.009906,How To Trade Biotech Stocks: Can These Three Tips Help You Make More Profits?,0.08
ALKS,2021-01-26,21.69,-0.051596,BioCryst (BCRX) Wins Japanese Approval for HAE Drug Orladeyo,0.77
ALKS,2021-01-22,22.19,0.033535,Bristol Myers' (BMY) Opdivo Label Expansion Gets Priority Review,0.76
ALKS,2021-01-22,22.19,0.033535,Novo Nordisk (NVO) Files for Ozempic's Label Expansion in US,0.74
ALKS,2021-01-22,22.19,0.033535,AstraZeneca's (AZN) Enhertu Gets EU Nod for Breast Cancer,0.76
ALKS,2021-01-21,21.47,-0.036788,"The Daily Biotech Pulse: FDA Greenlights Merck's Heart Failure Drug, Histogen Hit With Clinical Hold, Aptorum Gets Nod For Commencing Human Study",0.62
ALKS,2021-01-15,22.37,0.016818,Marinus (MRNS) Gets Positive FDA Response for Ganaxolone Study,0.7
ALKS,2021-01-14,22.0,0.008249,"Regeneron (REGN), U.S. Government Ink Deal for COVID-19 Treatment",0.73
ALKS,2021-01-14,22.0,0.008249,"The Daily Biotech Pulse: Bausch Health Issues Positive Pre-Announcement, Acorda Streamlines Operations",0.41
ALKS,2021-01-13,21.82,-0.012223,Horizon (HZNP) Provides Preliminary 2020 Financial Results,0.41
ALKS,2021-01-12,22.09,0.029357,NuCana (NCNA) Looks Good: Stock Adds 5.7% in Session,0.58
ALKS,2021-01-07,20.585,0.055641,REGENXBIO (RGNX) Provides Update on RGX-314 &amp; Begins New Program,0.2
ALKS,2021-01-07,20.585,0.055641,Aerpio (ARPO) Seeks Strategic Options for Pipeline Programs,-0.25
ALKS,2020-12-30,20.45,-0.014933,"The Daily Biotech Pulse: FDA Nod For Amphastar's Generic Glucagon, Arcturus Sinks On Vaccine Data, Decision Day For Osmotica",-0.12
ALKS,2020-12-29,20.76,-0.023059,Apellis' (APLS) Pipeline Candidate Pegcetacoplan Promising,0.7
ALKS,2020-12-18,22.0,0.015228,Is AXSM A Good Stock To Buy Now?,0.29
ALKS,2020-12-16,21.5,-0.027149,"The Daily Biotech Pulse: Mesoblast Releases Mixed Data, MediWound Jumps On Distribution Deal, Kezar Life Sciences Rallies On Index Inclusion, Opiant Gets BARA Funding",0.18
ALKS,2020-12-11,21.3,0.029981,Here's Why Alkermes Shares Jumped Higher Today,0.67
ALKS,2020-12-10,20.68,0.126975,Is PLMR A Good Stock To Buy Now?,0.12
ALKS,2020-11-11,17.61,-0.025996,Lyra Therapeutics Reports Third Quarter 2020 Financial Results and Provides Corporate Update,0.18
ALKS,2020-10-29,16.28,0.05783,Lyra Therapeutics Appoints Nancy L. Snyderman To Its Board of Directors,0.37
ALKS,2020-10-27,15.91,0.0,Trevena (TRVN) to Report Q3 Earnings: What's in the Cards?,0.44
ALKS,2020-02-06,19.13,-0.013918,Here's Why Alkermes Jumped Almost 11% Today,0.7
AMT,2021-07-01,270.32999,0.000703,1 Great Income Stock That Could Double Its Dividend,0.73
AMT,2021-06-24,264.14999,-0.000265,Here is What Hedge Funds Think About 3M Company (MMM),0.21
AMT,2021-06-24,264.14999,-0.000265,"Do Hedge Funds Love BlackRock, Inc. (BLK)?",0.35
AMT,2021-06-22,266.60999,-0.004221,Here's How Much a $1000 Investment in American Tower Made 10 Years Ago Would Be Worth Today,0.42
AMT,2021-06-18,265.94,-0.013246,American Tower (AMT) Gains As Market Dips: What You Should Know,0.41
AMT,2021-06-18,265.94,-0.013246,Is American Tower Corporation (REIT) (AMT) A Good Stock To Buy?,0.3
AMT,2021-06-18,265.94,-0.013246,American Tower (AMT) to Sell 10% in ATC Europe to Allianz Capital,0.47
AMT,2021-06-17,269.51001,0.015946,"Do Hedge Funds Love Airbnb, Inc. (ABNB)?",0.32
AMT,2021-06-17,269.51001,0.015946,Is American Express Company (AXP) A Good Stock To Buy?,0.36
AMT,2021-06-15,270.47,-0.001735,Hedge Funds Are Done Buying General Electric Company (GE),-0.37
AMT,2021-06-15,270.47,-0.001735,Is Goldman Sachs (GS) Going to Burn These Hedge Funds?,-0.04
AMT,2021-06-11,268.35001,-0.00912,American Tower Corporation to Present at the Credit Suisse 23rd Annual Communications Conference,0.18
AMT,2021-06-10,270.82001,0.014269,5 Stocks Set to Gain From the Ongoing 5G Boom,0.71
AMT,2021-06-04,265.28,0.007329,The 3 Safest REITs to Buy in June,0.71
AMT,2021-06-04,265.28,0.007329,American Tower Closes Latin American Tranche of Telxius Towers Acquisition,0.63
AMT,2021-06-03,263.35001,0.001597,American Tower (AMT) Closes Telxius Towers' Buyout in Europe,0.7
AMT,2021-06-03,263.35001,0.001597,"Telefonica (TEF) Sells Telxius' European Tower Division, Trims Debt",0.62
AMT,2021-06-03,263.35001,0.001597,20 Best Cities for Real Estate Investment,0.1
AMT,2021-06-02,262.92999,0.016862,American Tower sees newly-bought Telxius masts earning $280 million in 2021,0.7
AMT,2021-06-02,262.92999,0.016862,American Tower sees newly-bought Telxius masts earning $280 mln in 2021,0.7
AMT,2021-06-02,262.92999,0.016862,American Tower Closes First Tranche of Telxius Towers Acquisition,0.66
AMT,2021-05-28,255.46001,0.005313,American Tower Corporation Declares Quarterly Distribution,0.2
AMT,2021-05-28,255.46001,0.005313,Alpine (PINE) Taps Debt Market With $60M Unsecured Term Loan,-0.2
AMT,2021-05-27,254.11,-0.001375,2 Stocks With World-Class Dividends,0.61
AMT,2021-05-26,254.46001,0.004302,"Hey, Growth Investors, Here's a Dividend Stock You Might Love",0.43
AMT,2021-05-26,254.46001,0.004302,Top 10 Real Estate Billionaires in the World,0.04
AMT,2021-05-25,253.37,0.002334,Better Buy: AT&amp;T vs. American Tower,0.17
AMT,2021-05-24,252.78,0.011322,Worried About the Dogecoin Crash? Here Are 3 Safer Stocks to Buy Right Now,-0.03
AMT,2021-05-21,249.95,-0.003469,American Tower (AMT) Boosts Flexibility With Notes Offering,0.47
AMT,2021-05-20,250.82001,0.019428,"American Tower Corporation to Present at the J.P. Morgan 49th Annual Global Technology, Media and Communications Conference",0.31
AMT,2021-05-19,246.03999,-0.001258,American Tower Corporation Prices Senior Notes Offering,0.43
AMT,2021-05-14,246.75999,0.011311,"Brookfield, IFM Mull Bids For Singtel’s Australia Towers",0.62
AMT,2021-05-13,244.0,0.008431,"7 High Return, Low Risk Investments for Retirees",0.23
AMT,2021-05-12,241.96001,-0.021672,"The Zacks Analyst Blog Highlights: Nike, CVS Health, American Tower Corp, The Southern Co, American International Group and Parker-Hannifin Corp",0.21
AMT,2021-05-11,247.32001,-0.005229,"Top Stock Reports for Nike, CVS Health &amp; American Tower",0.29
AMT,2021-05-11,247.32001,-0.005229,Was The Smart Money Right About 3M Company (MMM)?,0.39
AMT,2021-05-07,247.49001,0.01422,3 Best REITs to Buy in May,0.72
AMT,2021-05-07,247.49001,0.01422,American Tower Corporation Prices Upsized Public Offering of Common Stock,-0.18
AMT,2021-05-06,244.02,-0.018423,American Tower Corporation Announces Proposed Public Offering of Common Stock,-0.16
AMT,2021-05-06,244.02,-0.018423,American Tower Partners with CDPQ in Europe,0.66
AMT,2021-05-04,248.88,-0.014024,Was The Smart Money Right About American Tower (AMT)?,0.34
AMT,2021-05-04,248.88,-0.014024,Was The Smart Money Right About Raytheon Technologies Corp (RTX)?,0.39
AMT,2021-04-30,254.77,0.017411,American Tower (AMT) Q1 FFO Beat Estimates,0.76
AMT,2021-04-30,254.77,0.017411,"American Tower (AMT) Q1 AFFO Beats Estimates, Revenues Lag",0.44
